article	product_name	category	unit	price
1	Товар_1	Категория_1	упаковка	100.0
2	Товар_2	Категория_2	упаковка	100.0
3	Товар_3	Категория_3	упаковка	100.0
4	Товар_4	Категория_4	упаковка	100.0
5	Товар_5	Категория_5	упаковка	100.0
6	Товар_6	Категория_6	упаковка	100.0
7	Товар_7	Категория_7	упаковка	100.0
8	Товар_8	Категория_8	упаковка	100.0
9	Товар_9	Категория_9	упаковка	100.0
10	Товар_10	Категория_10	упаковка	100.0
11	Товар_11	Категория_11	упаковка	100.0
12	Товар_12	Категория_12	упаковка	100.0
13	Товар_13	Категория_13	упаковка	100.0
14	Товар_14	Категория_14	упаковка	100.0
15	Товар_15	Категория_15	упаковка	100.0
16	Товар_16	Категория_16	упаковка	100.0
17	Товар_17	Категория_17	упаковка	100.0
18	Товар_18	Категория_18	упаковка	100.0
19	Товар_19	Категория_19	упаковка	100.0
20	Товар_20	Категория_20	упаковка	100.0
21	Товар_21	Категория_21	упаковка	100.0
22	Товар_22	Категория_22	упаковка	100.0
23	Товар_23	Категория_23	упаковка	100.0
24	Товар_24	Категория_24	упаковка	100.0
25	Товар_25	Категория_25	упаковка	100.0
26	Товар_26	Категория_26	упаковка	100.0
27	Товар_27	Категория_27	упаковка	100.0
28	Товар_28	Категория_28	упаковка	100.0
29	Товар_29	Категория_29	упаковка	100.0
30	Товар_30	Категория_30	упаковка	100.0
31	Товар_31	Категория_31	упаковка	100.0
32	Товар_32	Категория_32	упаковка	100.0
33	Товар_33	Категория_33	упаковка	100.0
34	Товар_34	Категория_34	упаковка	100.0
35	Товар_35	Категория_35	упаковка	100.0
36	Товар_36	Категория_36	упаковка	100.0
37	Товар_37	Категория_37	упаковка	100.0
38	Товар_38	Категория_38	упаковка	100.0
39	Товар_39	Категория_39	упаковка	100.0
40	Товар_40	Категория_40	упаковка	100.0
41	Товар_41	Категория_41	упаковка	100.0
42	Товар_42	Категория_42	упаковка	100.0
43	Товар_43	Категория_43	упаковка	100.0
44	Товар_44	Категория_44	упаковка	100.0
45	Товар_45	Категория_45	упаковка	100.0
46	Товар_46	Категория_46	упаковка	100.0
47	Товар_47	Категория_47	упаковка	100.0
48	Товар_48	Категория_48	упаковка	100.0
49	Товар_49	Категория_49	упаковка	100.0
50	Товар_50	Категория_50	упаковка	100.0
51	Товар_51	Категория_51	упаковка	100.0
52	Товар_52	Категория_52	упаковка	100.0
53	Товар_53	Категория_53	упаковка	100.0
54	Товар_54	Категория_54	упаковка	100.0
55	Товар_55	Категория_55	упаковка	100.0
56	Товар_56	Категория_56	упаковка	100.0
57	Товар_57	Категория_57	упаковка	100.0
58	Товар_58	Категория_58	упаковка	100.0
59	Товар_59	Категория_59	упаковка	100.0
60	Товар_60	Категория_60	упаковка	100.0
