coach_id,team_id,first_name,last_name,birth_date,nationality,coaching_style,joining_date,contract_end_date,photo_url
1,1,"Erik","ten Hag","1970-02-02","Dutch","Possession-based","2022-07-01","2025-06-30",
2,2,"Jürgen","Klopp","1967-06-16","German","High-press","2015-10-08","2026-06-30",
3,3,"Pep","Guardiola","1971-01-18","Spanish","Possession-based","2016-07-01","2025-06-30",
4,4,"Mauricio","Pochettino","1972-03-02","Argentinian","Attacking","2023-07-01","2025-06-30",
5,5,"Mikel","Arteta","1982-03-26","Spanish","Possession-based","2019-12-22","2025-06-30",
6,6,"Ange","Postecoglou","1965-08-27","Australian","Attacking","2023-07-01","2027-06-30",
7,9,"Xavi","Hernández","1980-01-25","Spanish","Possession-based","2021-11-06","2025-06-30",
8,10,"Carlo","Ancelotti","1959-06-10","Italian","Counter-attacking","2021-06-02","2026-06-30",
9,11,"Diego","Simeone","1970-04-28","Argentinian","Defensive","2011-12-23","2027-06-30",
10,17,"Thomas","Tuchel","1973-08-29","German","Possession-based","2023-03-24","2025-06-30",
11,18,"Edin","Terzić","1982-10-30","German","Attacking","2022-07-01","2025-06-30",
12,25,"Stefano","Pioli","1965-10-20","Italian","Attacking","2019-10-09","2025-06-30",
13,26,"Massimiliano","Allegri","1967-08-11","Italian","Pragmatic","2021-05-28","2025-06-30",
14,29,"Simone","Inzaghi","1976-04-05","Italian","Counter-attacking","2021-06-03","2025-06-30",
15,33,"Sergei","Semak","1976-02-27","Russian","Balanced","2018-05-29","2025-06-30",
16,34,"Guillermo","Abascal","1989-04-13","Spanish","Attacking","2022-06-10","2025-06-30",
17,35,"Vladimir","Fedotov","1966-08-12","Russian","Defensive","2022-06-15","2025-06-30",
18,8,"Unai","Emery","1971-11-03","Spanish","Tactical Flexible","2022-11-01","2027-06-30",
19,7,"Eddie","Howe","1977-11-29","English","High-press","2021-11-08","2027-06-30",
20,12,"José Luis","Mendilibar","1961-03-14","Spanish","Direct Attacking","2023-03-21","2024-06-30",
21,21,"Xabi","Alonso","1981-11-25","Spanish","Possession-based","2022-10-05","2026-06-30",
22,27,"José","Mourinho","1963-01-26","Portuguese","Pragmatic Defensive","2021-07-01","2024-06-30",
23,28,"Rudi","Garcia","1964-02-20","French","Attacking","2023-07-01","2025-06-30",
24,37,"Vladimir","Ivić","1977-05-07","Serbian","Organized","2023-01-04","2025-06-30",
25,40,"Marcel","Lička","1977-07-17","Czech","Attacking","2023-06-22","2026-06-30",
